idFornitore;ragioneSociale;partitaIva;telefono;email;prodotto;prezzoUnitario;scontoPercentuale;tempoConsegnaGiorni
1;Rossi Forniture srl;IT01234567890;021234567;info@rossiforniture.it;Bulloni Inox;0.15;5;3
2;Tech Italia spa;IT09876543210;069876543;ordini@techitalia.it;Schede Circuiti;12.50;10;7
3;Global Meccanica;IT01122334455;011556677;commerciale@globalmecc.it;Ingranaggi;4.20;0;5
4;Edilizia Moderna;IT05544332211;081223344;preventivi@edilizia.it;Cemento sacchi;8.45;12;2
5;Logistica Nord;IT06677889900;045889900;logistica@nord.it;Pallet Legno;15.00;8;4
6;ElettroDati;IT02233445566;023344556;support@elettrodati.it;Cavi Rame;1.10;15;6
7;Ferramenta Veneta;IT03344556677;041556677;info@ferraveneta.it;Chiodi Acciaio;0.05;20;3
8;Ufficio Pratico;IT04455667788;028877665;ordini@ufficiopratico.it;Carta A4;4.50;5;1
9;Plastica srl;IT05566778899;010554433;prod@plastica.it;Tubi PVC;3.20;7;5
10;Metallurgica srl;IT06677889901;030667788;sales@metallsrl.it;Lamiere;45.00;10;10
11;Chimica Insieme;IT07788990011;051778899;info@chimicainsieme.it;Solventi;18.20;0;8
12;Packaging Pro;IT08899001122;011223344;box@pkgpro.it;Scatole Cartone;0.85;25;3
13;Energy Solutions;IT09900112233;021122334;energy@sol.it;Batterie Litio;25.60;5;15
14;Valvole Italia;IT01111222233;052111223;info@valvole.it;Valvole Sfera;12.30;10;5
15;Tessile srl;IT02222333344;057422334;info@tessilesrl.it;Tessuto Cotone;5.40;15;7
16;Stampa Rapida;IT03333444455;023334445;stampa@rapida.it;Etichette;0.02;30;2
17;AutoRicambi;IT04444555566;064445556;info@autoricambi.it;Filtri Olio;7.80;10;4
18;Vetro Lux;IT05555666677;041555666;vetro@lux.it;Lastre Vetro;32.00;0;12
19;Legnami Pregiati;IT06666777788;043266677;legno@pregiati.it;Tavole Rovere;110.00;5;20
20;Pittura Sicura;IT07777888899;027778889;info@pittura.it;Vernici;22.50;10;3
21;Forniture Est;IT08888999900;040888999;ordini@est.it;Viti esagonali;0.08;15;5
22;Soft Lab;IT09999000011;029990000;info@softlab.it;Licenze;150.00;0;1
23;Agro Service;IT01212121212;075121212;agro@service.it;Concimi;28.00;10;4
24;Sicurezza srl;IT02323232323;062323232;info@sicurezza.it;Estintori;45.00;5;6
25;Modulistica srl;IT03434343434;023434343;info@modulistica.it;Cartelle;1.20;20;2
26;Cavi Speciali;IT04545454545;011454545;cavi@spec.it;Fibra Ottica;2.50;10;8
27;Riscaldamento;IT05656565656;045565656;clima@riscald.it;Radiatori;85.00;12;7
28;Gomma srl;IT06767676767;026767676;info@gomma.it;Guarnizioni;0.40;15;3
29;Componenti srl;IT07878787878;027878787;info@componenti.it;Resistenze;0.05;50;5
30;Ferro Infissi;IT08989898989;010898989;info@infissi.it;Maniglie;6.50;10;4
31;Colla Tutto;IT09090909090;055909090;colla@tutto.it;Adesivi;3.80;0;3
32;Movimentazione;IT01121121121;021121121;mms@cargo.it;Ruote carrello;8.00;15;4
33;Inox Design;IT02232232232;041223223;info@inox.it;Profilati;18.00;5;6
34;StrumenTec;IT03343343343;023343343;lab@tec.it;Multimetri;42.00;10;5
35;Cuscinetti srl;IT04454454454;051445445;ordini@cuscinetti.it;Cuscinetti;14.00;20;3
36;Lampo srl;IT05565565565;025565565;info@lampo.it;Led;2.10;15;5
37;Pneumatica;IT06676676676;011667667;info@pneumatica.it;Raccordi;4.50;10;4
38;Saldatura Pro;IT07787787787;030778778;saldatura@pro.it;Elettrodi;0.35;5;3
39;Pelle srl;IT08898898898;057188988;info@pellesrl.it;Pellame;65.00;0;10
40;Arredo Office;IT09909909909;029909909;arredo@office.it;Sedie;120.00;20;8
41;Cucine Tech;IT10010010010;051100100;info@cucinetech.it;Piani Induzione;250.00;15;15
42;Carta srl;IT11122233344;058311122;info@cartasrl.it;Bobine Carta;45.50;5;5
43;Zinco Italia;IT12233344455;031122333;zinco@italia.it;Zinco spray;4.20;10;3
44;Borse srl;IT13344455566;055133444;bag@factory.it;Tracolle;15.00;25;14
45;Scavi srl;IT14455566677;021445556;info@scavi.it;Sabbia;22.00;0;2
46;Tubazioni;IT15566677788;045155666;tubi@factory.it;Tubi Rame;8.90;10;6
47;Viteria Gialla;IT16677788899;030166777;viti@gialla.it;Rondelle;0.01;50;5
48;Elettronica 2;IT17788899900;021778889;info@elett2.it;Microchip;1.50;0;20
49;Olii srl;IT18899900011;010188999;lubrificanti@olii.it;Olio Idraulico;120.00;10;7
50;Marmo Pregio;IT19900011122;058519900;info@marmo.it;Lastre Marmo;180.00;5;25
51;Filtri Pro;IT20011122233;011200111;ordini@filtri.it;Filtri Aria;14.50;12;4
52;Tende srl;IT21122233344;022112223;info@tendesrl.it;Tessuto Tende;12.00;20;10
53;Sughero Italia;IT22233344455;079222333;info@sughero.it;Tappi;0.12;5;6
54;Nastri srl;IT23344455566;022334445;info@nastri.it;Nastro Adesivo;1.50;15;2
55;Bulloneria 3;IT24455566677;039244555;commerciale@bull.it;Dadi;0.04;30;3
56;Trasformatori;IT25566677788;044425566;tech@trasfo.it;Alimentatori;18.00;10;8
57;Scale srl;IT26677788899;022667778;info@scalesrl.it;Scale Alluminio;85.00;15;5
58;Gessi srl;IT27788899900;022778889;info@gessi.it;Cartongesso;9.50;5;4
59;Pannelli Solari;IT28899900011;062889990;info@solar.it;Pannello 400W;140.00;10;12
60;Serrature srl;IT29900011122;022990001;info@serrature.it;Cilindri;12.50;20;3
61;Pompe Idrauliche;IT30011122233;011300111;info@pompe.it;Pompa Sommersa;95.00;5;6
62;Inchiostri;IT31122233344;023112223;ink@factory.it;Cartucce;35.00;15;2
63;Reti Metallo;IT32233344455;030322333;info@reti.it;Rete Zincata;2.50;10;5
64;Cerniere srl;IT33344455566;051333444;info@cerniere.it;Cerniere;1.80;25;4
65;Isolanti Pro;IT34455566677;023445556;info@isolanti.it;Lana di vetro;14.00;5;7
66;Funi Italia;IT35566677788;041355666;info@funi.it;Fune Acciaio;3.20;10;6
67;Ventilazione;IT36677788899;023667778;info@ventila.it;Ventilatori;45.00;15;5
68;Cinghie srl;IT37788899900;011377888;commerciale@cinghie.it;Cinghie dentate;6.50;10;3
69;Abrasivi srl;IT38899900011;023889990;info@abrasivi.it;Dischi taglio;1.20;30;2
70;Mobili Gialli;IT39900011122;023990001;info@mobili.it;Scrivanie;145.00;10;10
71;Utensili srl;IT40011122233;030400111;info@utensili.it;Chiavi inglesi;5.50;20;4
72;Sensori Tech;IT41122233344;024112223;info@sensori.it;Sensore Prossimità;22.00;0;15
73;Saldatrici;IT42233344455;044442233;info@saldatrici.it;Saldatrice Inverter;350.00;15;7
74;Legno 2;IT43344455566;043243344;info@legno2.it;Pannelli MDF;18.50;10;5
75;Tubi Inox;IT44455566677;011444555;sales@tubinox.it;Tubo Inox 304;12.00;5;6
76;Maniglie Pro;IT45566677788;024556667;info@maniglie.it;Pomelli;3.40;25;4
77;Resine srl;IT46677788899;051466777;info@resine.it;Resina Epossidica;28.00;5;8
78;Bulloni Gialli;IT47788899900;030477888;info@viti.it;Viti Legno;0.02;50;2
79;Compressori;IT48899900011;024889990;info@comp.it;Compressore 50L;180.00;10;5
80;Elettrodi srl;IT49900011122;011499000;info@elettrodi.it;Elettrodi rutilici;0.25;15;3
81;Spazzole Pro;IT50011122233;025001112;info@spazzole.it;Spazzola Acciaio;4.80;20;4
82;Raccordi Gialli;IT51122233344;010511222;info@raccordi.it;Nipples;1.10;10;3
83;Zanche srl;IT52233344455;025223334;info@zanche.it;Zanche Fissaggio;0.80;30;5
84;Fari Led;IT53344455566;025334445;info@fari.it;Faro 50W;18.00;15;4
85;Cavi Alluminio;IT54455566677;045544555;info@cavi.it;Cavo Alluminio;0.90;10;7
86;Bricolage srl;IT55566677788;025556667;info@brico.it;Pennelli;2.50;40;2
87;Cartoni srl;IT56677788899;011566777;info@cartoni.it;Fogli Cartone;0.45;20;3
88;Molle srl;IT57788899900;039577888;info@molle.it;Molle Trazione;1.20;10;6
89;Pistoni srl;IT58899900011;011588999;info@pistoni.it;Pistoni Idraulici;140.00;5;12
90;Guranizioni Pro;IT59900011122;052159900;info@guarn.it;O-Ring;0.05;50;3
91;Semafori srl;IT60011122233;066001112;info@semafori.it;Lampade LED;8.50;10;5
92;Dadi Inox;IT61122233344;030611222;info@dadi.it;Dadi autobloccanti;0.12;15;4
93;Profilati srl;IT62233344455;026223334;info@profili.it;Angolari;5.60;10;6
